# Paquetes instalados explícitamente
# Generado desde: pacman -Qe + pacman -Q
# Fecha: 2026-08-27

7zip 26.02-1
mdadm 4.6-2
memtest86+ 7.20-2
memtest86+-efi 7.20-2
mesa-utils 9.0.0-7
mhwd 0.6.6-6
mhwd-db 20260305-1
micro 2.0.15-3
milou 6.7.4-1
mkinitcpio-openswap 0.1.1-1
modemmanager 1.24.2-1
mousepad 0.7.0-1
mpv 1:0.41.0-4
mtpfs 1.1-5
music-presence-bin 2.3.6-5
nano 9.2-1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
ncdu 2.9.2-1
neo4j-community-bin 2026.02.3-1
neovim 0.12.4-1
net-tools 2.10-3
network-manager-applet 1.36.0-2
networkmanager 1.58.0-1
networkmanager-dmenu 2.6.3-1
networkmanager-l2tp 1.52.4-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
networkmanager-vpnc 1.4.0-2
nfs-utils 2.9.2-1
nginx 1.30.4-1
nodejs 26.7.0-1
noto-fonts 1:2026.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 12.0.2-1
nss-mdns 0.15.1-2
ntfs-3g 2026.7.7-1
ntp 4.2.8.p18-6
numlockx 1.2-6
nvidia-prime 1.0-6
nvidia-settings 610.57.04-1
nvidia-utils 610.57.04-1
nwg-drawer 0.7.5-1
obs-studio 32.2.2-1
obsidian 1.13.7-2
okular 26.04.3-1
openai-codex 0.147.0-1
openssh 10.5p1-1
os-prober 1.84-1
pacman-contrib 1.13.1-1
pamac-cli 11.7.4-2
pamac-gtk3 10.7.0-1
pamac-tray-icon-plasma 0.1.3-3
papirus-icon-theme 20260801-1
pavucontrol 1:6.2-1
perl 5.42.2-2
perl-file-mimeinfo 0.37-1
pgadmin4-desktop 9.14-1
pgadmin4-web 9.14-1
phonon-qt6-vlc 0.12.0-6
pkgconf 3.0.5-1
plasma-browser-integration 6.7.4-1
plasma-desktop 6.7.4-1
plasma-nm 6.7.4-1
plasma-pa 6.7.4-1
plasma-systemmonitor 6.7.4-1
plasma-thunderbolt 6.7.4-1
plasma-workspace 6.7.4-1
plasma-workspace-wallpapers 6.7.4-1
playerctl 2.4.1-5
plocate 1.1.24-2
plymouth 26.134.222-3
plymouth-kcm 6.7.4-1
plymouth-theme-manjaro 2.2-5
polkit-gnome 0.105-12
poppler-data 0.4.12-2
postgresql 18.6-1
postman-bin 12.20.4-1
power-profiles-daemon 0.30-1
powerdevil 6.7.4-1
powertop 2.15-2
print-manager 1:6.7.4-1
python-fabric-git r222.7809cc8-1
python-loguru 0.7.3-2
python-matplotlib 3.11.1-1
python-numba 0.67.0-1
python-pillow 12.3.0-1
python-pip 26.2.1-1
python-pipx 1.15.0-1
python-poetry 2.4.1-1
python-pydbus 0.6.0-14
python-pygame 2.6.1-6
python-pyqt5 5.15.11-7
python-pysmbc 1.0.25.1-5
python-reportlab 5.0.0-1
python-scikit-learn 1.9.0-2
python-seaborn 0.13.2-3
python-websockets 16.1.1-1
qt5ct 1.9-2
qt6-imageformats 6.11.1-1
qt6-virtualkeyboard 6.11.1-1
qt6ct 0.11-7
quickshell 0.3.0-2
rofi 2.0.0-1
rsync 3.5.0-1
rust 1:1.97.1-1
